national_id,full_name,dob,nationality,is_blacklisted,past_default,credit_history_years
57039491496,Trinh Manh Khoa,9/16/1975,Vietnam,1,1,1
61258178109,Trinh Anh Huong,7/10/1949,Vietnam,0,0,0
98054901718,Trinh Bao Phuc,6/14/1998,Vietnam,0,0,1
25454331544,To Tuan My,7/12/1993,Vietnam,1,0,7
35025873753,Duong Thi Quy,7/2/1985,Vietnam,1,0,6
94299132509,Phan Thuy Diep,12/7/1968,Vietnam,1,0,19
28867228900,Ngo Ngoc Hieu,1/29/1986,Vietnam,0,0,2
57862452250,Truong Anh Loc,7/13/1996,Vietnam,1,0,8
25527411372,Phan Quang Binh,9/4/1963,Vietnam,0,0,0
75065591416,Duong Nhu Nam,1/6/1971,Vietnam,0,0,7
73600862081,Pham Tuyet Nghia,5/8/1988,Vietnam,1,1,2
98758912196,Mai Thuy Hoa,8/11/1958,Vietnam,0,0,0
12844330662,Doan Duc Khang,10/7/1996,Vietnam,1,0,6
24157511747,Lam Nhu Son,5/6/1936,Vietnam,1,0,4
61066364144,Trinh Tien Trang,5/3/1966,Vietnam,1,1,9
86327674249,Ngo Thu Son,5/21/2003,Vietnam,1,0,1
67136617052,Vo Huy My,4/13/1933,Vietnam,1,1,16
82148254728,Vo Tuan Thinh,6/29/1971,Vietnam,0,0,0
53040286127,Lam Nhu Trang,6/14/1964,Vietnam,1,0,5
20691987101,Dinh Manh Dung,3/3/1967,Vietnam,1,1,6
79825507828,Dao Huy Giang,4/12/2002,Vietnam,0,0,0
96896986736,Truong Gia Phong,12/15/1981,Vietnam,1,1,1
55768044261,Kieu Bao Trung,5/1/1970,Vietnam,0,0,5
29957078108,Doan Van Diep,4/19/2001,Vietnam,1,1,1
98640283344,Pham Nhu Dat,11/16/1934,Vietnam,1,1,3
31046546695,Le Tuyet Quy,10/9/2003,Vietnam,1,1,1
56826876496,Nguyen Van Giang,8/19/1981,Vietnam,1,1,5
24428753380,Chau Huu Tu,10/18/2005,Vietnam,1,1,1
84765253717,Ho Manh Nam,8/29/2004,Vietnam,0,0,3
33156886482,Ho Bao Khoa,7/30/1987,Vietnam,0,0,8
53161990062,Dinh Tuyet Hoa,6/2/1965,Vietnam,1,0,7
82450773435,Truong Tien Anh,5/5/1982,Vietnam,0,0,5
31407522822,Pham Gia Trung,2/22/1982,Vietnam,1,0,11
79296181178,Vo Thi Mai,9/27/1976,Vietnam,1,1,11
92213520787,Doan Minh Dat,4/2/1998,Vietnam,0,0,3
18291984936,Lam Diem Kien,2/9/2005,Vietnam,1,0,1
45150926991,Phung Thuy Tai,12/30/1973,Vietnam,1,1,10
43769520106,Dinh Xuan Son,2/5/1966,Vietnam,0,0,0
25251920983,Do Huu Son,5/15/1936,Vietnam,1,1,2
97009232286,Ly Thu Khoa,6/16/1994,Vietnam,0,0,8
14674859172,Mac Thi Hieu,7/26/1975,Vietnam,1,1,11
77990715328,Nguyen Gia Hieu,12/25/2003,Vietnam,1,0,3
